db-1  | 2026-03-02 18:42:11.733 UTC [24715] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:42:16.804 UTC [24716] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:42:21.875 UTC [24717] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:42:26.946 UTC [24718] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:42:32.018 UTC [24719] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:42:37.089 UTC [24720] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:42:42.160 UTC [24721] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:42:47.231 UTC [24722] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:42:52.302 UTC [24723] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:42:57.374 UTC [24724] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:43:02.445 UTC [24725] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:43:07.517 UTC [24727] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:43:12.589 UTC [24728] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:43:17.660 UTC [24729] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:43:22.731 UTC [24730] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:43:27.803 UTC [24731] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:43:32.873 UTC [24732] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:43:37.945 UTC [24733] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:43:43.016 UTC [24734] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:43:48.087 UTC [24735] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:43:53.158 UTC [24736] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:43:58.229 UTC [24737] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:44:03.300 UTC [24738] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:44:08.371 UTC [24740] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:44:13.443 UTC [24741] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:44:18.514 UTC [24742] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:44:23.585 UTC [24743] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:44:28.656 UTC [24744] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:44:33.728 UTC [24745] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:44:38.799 UTC [24746] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:44:43.871 UTC [24747] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:44:48.941 UTC [24748] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:44:54.012 UTC [24749] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:44:59.084 UTC [24750] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:45:04.154 UTC [24752] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:45:09.225 UTC [24753] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:45:14.295 UTC [24754] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:45:19.366 UTC [24755] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:45:24.436 UTC [24756] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:45:29.514 UTC [24757] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:45:34.585 UTC [24758] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:45:39.657 UTC [24759] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:45:44.728 UTC [24760] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:45:49.799 UTC [24761] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:45:54.871 UTC [24762] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:45:59.942 UTC [24763] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:46:05.013 UTC [24765] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:46:07.791 UTC [26] LOG:  checkpoint starting: time
db-1  | 2026-03-02 18:46:08.813 UTC [26] LOG:  checkpoint complete: wrote 11 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.008 s, sync=0.006 s, total=1.023 s; sync files=11, longest=0.003 s, average=0.001 s; distance=61 kB, estimate=145 kB; lsn=0/E5DD710, redo lsn=0/E5DD6D8
db-1  | 2026-03-02 18:46:10.083 UTC [24766] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:46:15.155 UTC [24767] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:46:20.227 UTC [24768] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:46:25.298 UTC [24769] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:46:30.369 UTC [24770] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:46:35.440 UTC [24771] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:46:40.510 UTC [24772] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:46:45.580 UTC [24773] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:46:50.651 UTC [24774] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:46:55.722 UTC [24775] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:47:00.794 UTC [24776] WARNING:  there is already a transaction in progress
db-1  | 2026-03-02 18:47:05.865 UTC [24778] WARNING:  there is already a transaction in progress
